id,nombre,codigo_nif,localidad,trabajadores,roe,roa,valor_agregado,ingresos_explotacion_empleado,ingresos_explotacion,resultado_ejercicio,total_activo,valoracion,n_valoraciones,esta_trip,total_visits_similar,ratio_resenas_visitas,valoracion_ponderada,stem_zon_de_lectur,stem_curs_de_cocin,stem_solarium,stem_intang,stem_gimnasi,stem_enovisit,stem_piscin,stem_alquil,stem_hospedaj,stem_indic_geograf_proteg,stem_festival,stem_interior,stem_sombrill,stem_jardin,stem_decor,stem_lectur,stem_dop,stem_suit,stem_hotel,stem_huesp,stem_estanci,stem_comedor,stem_bibliotec,stem_masaj,stem_igp,stem_menus,stem_rehabilit,stem_curs,stem_play,stem_zon_comun
3363,"BODEGA EL HOMBRE ORQUESTA, SOCIEDAD LIMITADA.",B01557495,LABASTIDA/BASTIDA,1,-40.249,-11.959,-1.236599,18.87029,18.87029,-8.68115,72.12367,NA,NA,0,447,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1643,BODEGA VIÑEDOS TINEDO SL,B16244451,SOCUELLAMOS,8,0.015,0.909,181.96595,52.764216,422.11373,0.28888,3068.03391,4.8,14,1,2100,0.006666666666666667,0.34285714285714286,0,0,0,0,0,0,0,0,0,0,0,17,0,1,1,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1688,BODEGA MARQUES DE MONTECIERZO SL,B31767155,CASTEJON,4,3.208,1.064,159.49119,100.002732,400.01093,7.39778,1531.38976,4.6,237,1,2400,0.09875,0.01940928270042194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
1282,VIÑEDOS ALONSO DEL YERRO SL,B83436469,MADRID,5,5.214,3.646,370.38448,153.0688,765.344,123.08687,4610.01461,NA,NA,0,5600,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1250,TXAKOLI GAINTZA SL,B20679676,GETARIA,4,0.371,0.61,327.34478,201.525445,806.10178,2.79154,1404.04098,4.7,110,0,1500,0.07333333333333333,0.04272727272727273,0,0,0,0,0,0,6,0,0,0,0,0,0,13,4,0,0,0,109,0,0,6,0,0,0,0,0,0,3,0
947,FAMILIA MARTINEZ BUJANDA SL.,B01486778,OYON-OION,5,-0.5,0.132,454.28404,276.257498,1381.28749,-232.58016,51338.94558,NA,NA,0,11300,NA,NA,0,0,0,0,0,0,0,0,1,12,0,5,0,5,0,230,0,0,0,0,62,0,0,0,0,0,2,10,0,0
444,BODEGAS E MENDOZA SL,B03279379,L'ALFAS DEL PI,27,17.379,8.691,2021.25922,137.648929,3716.5211,734.33848,9790.84871,4.6,587,1,16400,0.035792682926829265,0.007836456558773424,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
958,TERRIÑA SL,B27017086,CHANTADA,4,16.331,2.197,200.74905,339.64541,1358.58164,18.1687,2490.12858,NA,NA,0,6800,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2623,FICARIA VINS SL,B43726959,LA FIGUERA,2,14.392,5.04,48.78067,106.73477,102.854269,6.93158,433.66899,5,43,0,856,0.05023364485981308,0.11627906976744186,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0
917,ERREKALDE TXAKOLINA SL.,B20909214,HONDARRIBIA,8,14.377,3.706,628.11538,180.413195,1443.30556,147.76848,4641.28716,NA,NA,0,5800,NA,NA,0,0,0,0,0,0,0,0,0,0,2,0,13,11,0,1,0,1,0,4,0,7,0,0,0,0,0,0,42,0
568,BODEGAS VIÑA ELENA SL.,B30463608,JUMILLA,16,6.073,3.675,740.671769,170.006156,2720.0985,125.36828,4104.7543,4.8,273,1,12600,0.021666666666666667,0.017582417582417582,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,13,0,0,1,2,0,6,0,0,7,2,5,0,0
237,BODEGAS LEGANZA SA,A45446192,OYON-OION,27,12.411,9.935,2798.38277,260.79757,7041.534399,1058.50944,14423.6827,NA,NA,0,12100,NA,NA,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0
1981,AGRIMENEZ SL,B14233670,MONTILLA,15,14.146,3.168,170.756639,18.144414,272.16621,10.95683,345.84606,NA,NA,0,4400,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1627,EL HILO DE ARIADNA SL.,B47659248,RUEDA,4,1.512,1.275,153.245639,108.645157,434.58063,7.57106,712.96744,NA,NA,0,2100,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2784,BODEGAS ALODIA SL,B22316566,ADAHUESCA,2,2.778,1.411,35.68665,93.294919,78.65036,4.87987,643.42268,4.7,90,1,1000,0.09,0.052222222222222225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0
1016,BODEGAS CUNQUEIRO SL,B32150187,CASTRELO DE MIÑO,8,7.796,6.834,399.90833,151.067718,1208.54175,76.80992,1529.12547,4.6,35,0,514,0.06809338521400778,0.13142857142857142,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
359,HIJA FRANCISCO PEREZ ADRIA SA,A24034795,VILLAFRANCA DEL BIERZO,14,23.128,17.926,947.51934,316.832853,4435.65995,404.352429,3007.41863,4.7,3,0,NA,NA,1.5666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,VIÑA SALCEDA SL,B01269794,ELCIEGO,14,-0.158,-0.128,897.81312,279.323391,3910.52748,-19.99124,30169.84168,4.8,65,0,957,0.06792058516196448,0.07384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,A PAZOS DE LUSCO SL,B83055418,SALVATERRA DE MIÑO,5,-3.154,-1.019,189.568679,189.753387,948.76694,-39.30394,4151.92904,4.5,15,1,1000,0.015,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0
563,BODEGAS OSTATU SL,B01127133,SAMANIEGO,12,10.043,7.576,1171.70403,229.613129,2755.357559,413.34603,5379.69655,4.6,88,1,8500,0.010352941176470589,0.05227272727272727,0,0,0,2,0,0,0,0,0,0,1,5,2,0,1,12,0,2,3,3,37,10,0,0,0,0,0,2,8,0
943,BODEGAS BARRERO SA.,A11004371,SANLUCAR DE BARRAMEDA,42,-0.127,0.184,817.08231,32.989207,1385.54672,-1.762989,5764.39807,4.8,18,0,4600,0.00391304347826087,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0
1023,FAMILIA MARTINEZ BUJANDA COMERCIAL SL,B01347509,OYON-OION,7,30.945,10.168,461.30037,169.371237,1185.59866,39.51918,545.69749,NA,NA,0,11300,NA,NA,0,0,0,0,0,0,0,0,1,12,0,5,0,5,0,230,0,0,0,0,62,0,0,0,0,0,2,10,0,0
1046,BODEGAS GODEVAL SL.,B32022477,O BARCO DE VALDEORRAS,10,1.531,1.429,561.909679,112.039656,1120.396569,32.59247,3885.38364,4.9,55,0,1500,0.03666666666666667,0.0890909090909091,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,HACIENDA LA SERRATA SL,B53882643,VILLENA,25,2.745,2.357,1647.09091,106.753543,2668.83858,454.71623,20824.30853,NA,NA,0,8800,NA,NA,0,0,0,0,0,0,0,0,0,0,0,18,0,11,4,15,1,0,0,0,1,0,0,0,0,0,3,1,2,0
710,AGUSTI TORELLO ROCA SL.,B65974644,SANT SADURNI D'ANOIA,9,24.523,8.908,949.613159,226.313445,2036.82101,289.03139,4523.34506,4.9,34,0,1400,0.024285714285714285,0.14411764705882354,0,0,0,100,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,46,0,0,6,0,0,0,0,0,0
957,BODEGAS VIORE SL.,B49271760,TORO,4,6.708,4.739,598.66557,339.764602,1359.05841,169.67822,4929.50731,NA,NA,0,9100,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320,VITICULTURA SAN JUAN SL.,B38323481,TACORONTE,9,-27.805,-1.499,303.43004,78.243291,704.18962,-0.709829,1498.12195,NA,NA,0,7700,NA,NA,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,8,0,0,4,1,0,0,0,0,0,0,0,4,1,0
2794,41 NORTE SL.,B47693007,CURIEL DE DUERO,1,19.679,14.333,70.58264,187.953748,76.05201,41.304369,397.76355,4.9,17,0,2200,0.007727272727272728,0.2882352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
